ID,var_rpta_alt,Prob_uno
59584#350400#730364,0,0.46
368086#382995#696856,0,0.3258
417751#109691#978105,0,0.445
522913#59984#1044995,1,0.68
46441#633313#447029,1,0.6185
46441#1035775#44567,1,0.6185
118179#314102#769034,1,0.59
118179#676334#404008,1,0.54
276581#207846#874865,1,0.8393
276581#196566#891692,1,0.8393
276581#763613#316729,1,0.8393
357721#73523#1031527,0,0.436
357721#989388#90954,0,0.355
357721#989748#90594,0,0.355
357721#989297#91045,0,0.355
357721#300627#804508,0,0.355
436763#346219#734486,0,0.395
242084#623070#457272,0,0.41
267078#663701#416641,0,0.3679
267078#213115#869641,0,0.3679
267078#663722#416620,0,0.3679
267078#663788#416554,0,0.3679
267078#663793#416549,0,0.3679
267078#663796#416546,1,0.5628
267078#663773#416569,1,0.5628
267078#663804#416538,0,0.3679
608644#280869#802173,1,0.4967
385325#66845#1038184,0,0.4
385325#425459#654518,0,0.4
283801#483018#597324,0,0.425
39603#35099#1069954,0,0.41
356231#190000#898235,1,0.6525
356231#780036#300306,1,0.575
348284#542773#537569,0,0.39
348284#542504#537838,0,0.39
348284#683542#396800,0,0.39
514260#342341#738326,1,0.545
514260#494604#585738,0,0.48
514260#473404#606938,0,0.48
373936#834274#246068,0,0.4767
373936#355953#723909,1,0.68
373936#151549#936551,1,0.68
158015#815577#264765,1,0.855
311073#1041116#39226,1,0.6783
311073#1041072#39270,0,0.4659
311073#20398#1006104,0,0.4659
311073#1041124#39218,0,0.4659
311073#1041416#38926,0,0.4659
311073#1041057#39285,0,0.4659
311073#1041181#39161,1,0.6783
311073#1041361#38981,1,0.6783
311073#1041248#39094,1,0.558
311073#1041331#39011,1,0.558
40213#836170#244172,1,0.5586
332192#909736#170606,0,0.3033
494605#98713#989059,0,0.3317
325540#359775#720088,0,0.282
325540#68103#1036937,0,0.282
419790#703117#377225,0,0.39
265204#512277#568065,0,0.4135
265204#274615#808405,1,0.5986
265204#512197#568145,0,0.4135
265204#512293#568049,0,0.4135
265204#512302#568040,0,0.4135
265204#512357#567985,0,0.4135
265204#512195#568147,0,0.4135
265204#512321#568021,0,0.4135
265204#512187#568155,0,0.4135
265204#512203#568139,0,0.4135
265204#512308#568034,0,0.4135
265204#512214#568128,0,0.4135
265204#512194#568148,0,0.4135
265204#512184#568158,0,0.4135
265204#449509#630863,0,0.4135
265204#512329#568013,0,0.4135
265204#718550#361792,0,0.4135
265204#718465#361877,0,0.4135
361606#620091#460251,1,0.57
387473#591553#488789,0,0.434
387473#377454#702407,0,0.43
37054#250623#832376,0,0.4267
37054#117035#970780,0,0.4267
331918#253524#829476,0,0.42
331918#442779#637526,0,0.42
458587#154497#933618,0,0.43
458587#383696#696158,0,0.43
359813#401620#678296,1,0.7167
359813#153885#934230,1,0.7167
549240#754384#325958,0,0.46
444462#266806#816202,1,0.53
444462#157270#930832,1,0.53
565253#646348#433994,0,0.362
397405#791419#288923,0,0.44
466507#983180#97162,0,0.19
586814#756878#323464,0,0.44
407152#754948#325394,1,0.68
174421#950334#130008,1,0.5708
191580#608392#471950,0,0.41
191580#608394#471948,0,0.41
191580#608393#471949,0,0.41
150465#751828#328514,1,0.62
150465#200270#887998,1,0.615
552594#639992#440350,0,0.3
576414#385052#694806,1,0.5811
544823#866439#213903,0,0.4236
9194#1025670#54672,1,0.68
530843#263372#819616,1,0.7638
626504#683556#396786,0,0.39
626504#76236#1028837,0,0.39
197602#1042672#37670,1,0.51
478513#884913#195429,0,0.4448
193290#1006753#73589,1,0.4934
411185#162516#925596,0,0.3258
243067#574984#505358,0,0.44
558028#992380#87962,0,0.4
596135#186078#902072,0,0.4467
421342#466889#613453,0,0.46
421342#466888#613454,0,0.46
421342#466825#613517,0,0.46
421342#466886#613456,0,0.46
421342#466801#613541,0,0.46
421342#466887#613455,0,0.46
378556#704312#376030,1,0.6957
378556#38132#1066954,1,0.6957
378556#402711#677210,1,0.6957
538767#202918#882314,1,0.76
538767#332824#747753,1,0.76
196205#431725#648333,0,0.48
86505#1003940#76402,0,0.432
222497#564466#515876,0,0.4464
222497#564456#515886,0,0.4464
222497#564450#515892,0,0.4464
222497#564460#515882,0,0.4464
222497#838648#241694,0,0.4464
222497#564457#515885,0,0.4464
222497#564454#515888,0,0.4464
239792#803265#277077,1,0.7983
556430#74452#1030597,1,0.55
589146#541231#539111,1,0.62
589146#541078#539264,1,0.595
589146#541224#539118,1,0.595
589146#541206#539136,1,0.595
589146#541205#539137,1,0.595
335753#447444#632903,0,0.43
335753#264372#818617,0,0.43
237974#1010767#69575,0,0.18
267658#588294#492048,1,0.5075
267658#947217#133125,0,0.26
192375#110429#977369,1,0.6425
192375#232586#850247,1,0.6425
409228#448641#631716,1,0.93
409228#189962#898273,1,0.93
409228#875286#205056,1,0.93
279847#428343#651655,0,0.3567
279847#1038085#42257,0,0.4502
162869#316027#767113,1,0.72
162869#128967#958884,0,0.4233
346121#423681#656302,1,0.74
560664#652870#427472,1,0.75
560664#396017#666507,0,0.32
412532#543787#536555,0,0.22
412532#543712#536630,1,0.5589
412532#790489#289853,0,0.22
412532#543757#536585,0,0.22
412532#543761#536581,1,0.5589
412532#543776#536566,1,0.5589
412532#543764#536578,0,0.36
412532#543700#536642,1,0.5589
412532#543721#536621,1,0.5589
371843#126536#961298,1,0.7243
116951#290382#792674,0,0.34
116951#446702#633644,0,0.34
202842#230807#852028,1,0.69
202842#391071#688834,1,0.69
202842#771059#309283,1,0.69
97672#571299#509043,1,0.5617
97672#571295#509047,1,0.5617
389813#177271#910839,1,0.97
389813#845681#234661,1,0.97
600231#319895#763255,0,0.395
418234#807545#272797,0,0.22
418234#807554#272788,0,0.22
418234#807549#272793,0,0.22
418234#807547#272795,0,0.22
418234#807551#272791,0,0.22
418234#807553#272789,0,0.22
115401#238550#844446,0,0.37
276159#401729#678188,1,0.545
276159#113690#974125,1,0.545
276159#198154#890109,1,0.545
276159#548465#531877,1,0.78
276159#801465#278877,1,0.78
276159#548459#531883,1,0.5345
276159#548458#531884,1,0.78
276159#548457#531885,1,0.78
276159#548443#531899,1,0.78
276159#208892#873834,1,0.545
347481#54414#1050534,1,0.6455
347481#396048#683858,1,0.56
347481#195565#892690,1,0.6455
510838#587867#492475,1,1.0
510838#587956#492386,1,1.0
510838#587957#492385,1,1.0
510838#150247#937846,1,0.6842
252859#518215#562127,0,0.4367
252859#518158#562184,0,0.4367
252859#518219#562123,0,0.4367
252859#23255#1004475,0,0.4367
252859#518211#562131,0,0.4367
252859#518217#562125,0,0.4367
573222#889070#191272,0,0.3975
78469#177776#910341,0,0.43
162118#289400#793661,1,0.55
31455#821056#259286,1,0.763
619095#1077145#3197,1,0.6268
10371#440168#640141,1,0.5042
10371#293079#789996,1,0.5042
10371#186136#902012,1,0.576
79008#104895#982878,1,0.6112
592396#760130#320212,0,0.385
361640#833271#247071,0,0.45
361640#719750#360592,0,0.45
15285#738742#341600,0,0.44
15285#105451#982328,0,0.44
295412#455572#624763,1,0.53
408622#163871#924246,0,0.2283
157803#1037640#42702,1,0.6304
157803#1037662#42680,0,0.283
157803#1037645#42697,0,0.283
157803#1037674#42668,1,0.6304
157803#1037777#42565,1,0.6304
157803#1037711#42631,1,0.6304
151037#799684#280658,1,0.675
511098#991561#88781,1,0.5217
252941#114200#973619,1,0.617
7184#1025055#55287,1,0.6348
7184#288006#795064,1,0.6043
407241#274576#808445,1,0.63
407241#419490#660504,1,0.63
407241#185454#902691,1,0.63
556423#316927#766217,0,0.45
556423#123247#964576,0,0.45
556423#387260#692593,0,0.315
73731#564805#515537,1,0.6217
73731#209902#872833,1,0.6
73731#564847#515495,1,0.6217
73731#564835#515507,1,0.6217
73731#564846#515496,1,0.6217
73731#100134#987642,1,0.6
73731#564844#515498,1,0.6217
73731#564767#515575,1,0.6217
179417#524487#555855,1,0.5167
179417#379445#700409,1,0.525
179417#524386#555956,1,0.5167
179417#524474#555868,1,0.59
179417#524393#555949,1,0.5167
179417#524447#555895,1,0.59
179417#524385#555957,1,0.5167
179417#524435#555907,1,0.59
179417#524305#556037,1,0.5167
179417#524395#555947,1,0.5167
179417#524422#555920,1,0.59
179417#524436#555906,1,0.5167
179417#524481#555861,1,0.59
179417#524433#555909,1,0.59
179417#524486#555856,1,0.5167
179417#524410#555932,1,0.59
179417#524333#556009,1,0.5167
179417#524392#555950,1,0.5167
179417#524452#555890,1,0.59
179417#524276#556066,1,0.5167
179417#524255#556087,1,0.5167
179417#524283#556059,1,0.5167
392610#807409#272933,1,0.5596
392610#807410#272932,1,0.5596
392610#411962#667955,1,0.5232
486214#290766#792289,1,0.61
413628#253191#829811,0,0.46
299809#348685#732062,1,0.5188
299809#186809#901339,1,0.6767
299809#1072502#7840,1,0.6767
480348#326137#756999,1,0.6433
480348#641077#439265,1,0.6433
480348#172549#915575,1,0.6433
278006#276715#806313,0,0.31
319482#187286#900868,1,0.635
319482#956890#123452,1,0.635
421579#198183#890080,0,0.4
421579#521973#558369,1,0.62
421579#146613#941479,1,0.62
55361#815452#264890,0,0.3367
376724#960205#120137,1,0.78
376724#960138#120204,1,0.78
235534#766242#314100,1,0.59
422027#58614#1046368,0,0.38
407900#373435#706417,1,0.51
587320#401804#678110,0,0.1567
587320#36272#1068782,1,0.57
424583#750022#330320,1,0.65
26589#743853#336489,1,0.66
427801#827156#253186,1,0.69
66558#651989#428353,1,0.64
188117#176240#911859,0,0.21
188117#443688#636635,0,0.21
188117#262169#820812,0,0.21
204446#872456#207886,0,0.32
400640#424156#655828,0,0.46
400640#384411#695446,0,0.46
400640#312634#770507,0,0.46
400640#54575#1050373,0,0.46
23044#595773#484569,1,0.4967
23044#595767#484575,1,0.4967
23044#595748#484594,1,0.4967
23044#564884#515458,1,0.4967
23044#564877#515465,1,0.58
23044#595784#484558,1,0.4967
23044#595738#484604,1,0.4967
608055#858464#221878,0,0.35
209171#464607#615735,1,1.0
209171#464453#615889,1,1.0
209171#464409#615933,1,1.0
209171#464566#615776,1,1.0
209171#464432#615910,1,1.0
209171#464613#615729,1,1.0
209171#464484#615858,1,1.0
209171#464423#615919,1,1.0
209171#464576#615766,1,1.0
209171#464517#615825,1,1.0
209171#464502#615840,1,1.0
209171#464438#615904,1,1.0
209171#464570#615772,1,1.0
209171#464541#615801,1,1.0
209171#464553#615789,1,1.0
209171#464614#615728,1,1.0
209171#464573#615769,1,1.0
209171#464391#615951,1,0.58
209171#332551#748030,1,1.0
209171#464565#615777,1,1.0
209171#464469#615873,1,1.0
461440#636422#443920,0,0.345
575098#819118#261224,0,0.35
114067#229388#853449,1,0.6367
136729#529893#550449,1,0.59
136729#722679#357663,0,0.442
136729#440352#639953,0,0.442
393586#1006371#73971,1,0.83
416403#127167#960674,0,0.2963
416403#212237#870516,1,0.7767
416403#517042#563300,0,0.2963
382092#1053576#26766,0,0.4467
382092#540183#540159,0,0.4062
382092#540182#540160,0,0.4062
382092#540173#540169,0,0.4062
382092#540196#540146,0,0.4062
382092#540195#540147,0,0.4062
382092#540177#540165,0,0.4062
382092#540194#540148,0,0.4062
382092#423405#656579,0,0.4062
382092#540178#540164,0,0.4062
137403#160582#927524,1,0.775
137403#1055761#24581,1,0.775
483682#871050#209292,0,0.2636
307174#945696#134646,1,0.5875
307174#839741#240601,1,0.5875
307174#587630#492712,0,0.458
307174#587599#492743,0,0.458
307174#587601#492741,1,0.5607
307174#963728#116614,0,0.458
307174#587602#492740,1,0.5607
307174#587618#492724,0,0.458
307174#963727#116615,0,0.458
307174#587606#492736,0,0.458
307174#587621#492721,0,0.458
307174#587612#492730,1,0.5875
307174#587608#492734,1,0.5875
190134#727871#352471,1,0.65
54694#387709#692145,0,0.487
54694#290771#792284,0,0.455
54694#733162#347180,0,0.487
445121#362031#717826,1,0.7587
524860#654963#425379,0,0.285
208505#753148#327194,1,0.58
208505#528060#552282,1,0.58
208505#672029#408313,1,0.5818
208505#753390#326952,1,0.58
208505#528561#551781,1,0.5818
263255#668938#411404,1,0.56
135687#657693#422649,0,0.465
257585#284368#798691,0,0.22
32996#459718#620625,1,0.8133
178632#144452#943646,0,0.41
411738#1004988#75354,0,0.2674
411738#67500#1037538,1,0.64
379248#239289#843725,0,0.47
50042#844831#235511,1,0.67
75499#187193#900958,1,0.7
75499#242004#841010,1,0.7
75499#339321#741321,1,0.52
75499#395409#684500,1,0.7
19987#643075#437267,1,0.64
549150#776797#303545,1,0.595
120657#372148#707706,0,0.2067
214453#490947#589395,0,0.3593
214453#490871#589471,0,0.3593
214453#490886#589456,0,0.3593
214453#490922#589420,0,0.3593
214453#490983#589359,0,0.3593
214453#490985#589357,0,0.3593
214453#490852#589490,0,0.3593
214453#490859#589483,0,0.3593
107282#686597#393745,0,0.2725
304596#567434#512908,1,0.5155
304596#567252#513090,1,0.5155
304596#567603#512739,0,0.3415
304596#567775#512567,0,0.3415
304596#567588#512754,0,0.3415
304596#567400#512942,1,0.5155
304596#567392#512950,1,0.5155
304596#567334#513008,1,0.5155
304596#567361#512981,1,0.5155
304596#567830#512512,0,0.3415
12007#517397#562945,1,0.54
12007#389721#690133,1,0.54
625471#304360#778746,0,0.382
2319#101519#986252,1,0.545
2319#987267#93075,1,0.545
2319#401204#678711,0,0.24
617549#450832#629534,1,0.61
617549#1041326#39016,1,0.691
617549#256689#826291,1,0.61
617549#140940#947159,1,0.61
188579#447618#632729,0,0.46
365425#469829#610513,1,0.635
206416#443479#636833,0,0.4262
460938#542490#537852,0,0.425
460938#542494#537848,0,0.425
460938#542492#537850,0,0.425
460938#542486#537856,0,0.425
460938#542481#537861,0,0.425
363700#1040123#40219,1,0.635
263571#278133#804905,1,0.53
263571#170597#917541,1,0.5
263571#618460#461882,1,0.5
589866#435599#644627,1,0.77
589866#754212#326130,1,0.77
257991#212872#869886,0,0.4
257991#423436#656548,1,0.6604
173908#805105#275237,1,0.6105
173908#805134#275208,1,0.6105
173908#805146#275196,1,0.6105
173908#805122#275220,1,0.6105
173908#805171#275171,1,0.6105
173908#805142#275200,1,0.6105
173908#139804#948300,0,0.2929
371066#401919#677998,1,0.73
581893#444137#636187,0,0.17
33836#205065#880188,1,0.554
33836#189829#898406,1,0.554
255395#1029802#50540,0,0.485
192684#435809#644422,1,0.635
192684#311500#771643,1,0.635
192684#150934#937161,1,0.635
594430#177451#910664,1,0.52
594430#402746#677175,1,0.75
594430#349478#731280,1,0.75
594430#194819#893436,1,0.52
594430#283812#799239,1,0.52
620159#199930#888339,1,0.516
620159#1008476#71866,1,0.516
620159#1008371#71971,1,0.516
620159#1068424#11918,1,0.516
620159#1008369#71973,1,0.516
620159#61640#1043341,1,0.516
620159#1008455#71887,1,0.516
620159#1008340#72002,1,0.516
620159#1008394#71948,1,0.516
620159#1008332#72010,1,0.516
620159#214685#868070,1,0.516
620159#1008448#71894,1,0.516
620159#1008230#72112,1,0.516
189964#986215#94127,0,0.2533
