ID,var_rpta_alt,Prob_uno
257335#444821#635511,0,0.44
59584#350400#730364,0,0.46
397604#973821#106521,0,0.44
368086#382995#696856,0,0.3258
255009#434238#645924,0,0.44
417751#109691#978105,0,0.445
15170#695103#385239,1,0.5431
64083#1033680#46662,0,0.4871
522913#59984#1044995,1,0.68
46441#633313#447029,1,0.6185
552#559118#521224,1,0.5431
302051#315690#767452,0,0.44
118179#314102#769034,1,0.59
523516#404708#675216,0,0.44
113208#181011#907122,1,0.5431
276581#207846#874865,1,0.8393
580908#867522#212820,0,0.4871
383095#52705#1052247,0,0.4871
76615#1047728#32614,0,0.44
138091#115168#972652,1,0.5431
357721#73523#1031527,0,0.436
442359#1056644#23698,1,0.5431
500313#1050223#30119,0,0.44
402096#43169#1061649,0,0.44
507348#350702#730065,1,0.5431
204337#300670#782445,0,0.44
436763#346219#734486,0,0.395
465398#824439#255903,0,0.44
242084#623070#457272,0,0.41
267078#663701#416641,0,0.3679
200340#725868#354474,1,0.5431
600026#796685#283657,0,0.44
439822#145524#942570,0,0.4871
608644#280869#802173,1,0.4967
458223#711065#369277,0,0.4871
492870#106066#981715,0,0.44
385325#66845#1038184,0,0.4
283801#483018#597324,0,0.425
39603#35099#1069954,0,0.41
35925#278860#804180,0,0.4871
536107#889478#190864,0,0.4871
356231#190000#898235,1,0.6525
314131#751663#328679,1,0.5431
32776#599515#480827,1,0.5431
296565#487009#593333,0,0.44
420032#784025#296317,1,0.5431
348284#542773#537569,0,0.39
514260#342341#738326,1,0.545
373936#834274#246068,0,0.4767
158015#815577#264765,1,0.855
107393#729831#350511,1,0.5431
395121#718382#361960,1,0.5431
559180#418892#661101,1,0.5431
311073#1041116#39226,1,0.6783
106125#404910#675013,0,0.4871
64548#241610#841409,1,0.5431
40213#836170#244172,1,0.5586
332192#909736#170606,0,0.3033
622359#728230#352112,0,0.44
77961#237821#845157,1,0.5431
590929#109550#978245,0,0.44
349843#282225#800828,1,0.5431
513716#50850#1054052,0,0.44
46597#462853#617489,1,0.5431
302245#848604#231738,0,0.4871
507759#368273#711587,1,0.5431
494605#98713#989059,0,0.3317
541991#910909#169433,0,0.4871
82315#796739#283603,0,0.44
305431#830902#249440,1,0.5431
191287#180650#907480,1,0.5431
325540#359775#720088,0,0.282
104164#870960#209382,1,0.5431
419790#703117#377225,0,0.39
385203#322645#760493,0,0.44
265204#512277#568065,0,0.4135
615809#246955#836042,0,0.44
492907#833827#246515,0,0.44
519426#476099#604243,1,0.5431
343078#713036#367306,0,0.4871
579554#254116#828878,0,0.4871
361606#620091#460251,1,0.57
27372#1071120#9222,0,0.44
387473#591553#488789,0,0.434
37054#250623#832376,0,0.4267
435457#71766#1033297,0,0.44
411421#358837#721020,0,0.44
331918#253524#829476,0,0.42
458587#154497#933618,0,0.43
200516#1030154#50188,0,0.44
424997#233080#849749,0,0.4871
285438#489840#590502,1,0.5431
93856#179627#908493,1,0.5431
313683#1066197#14145,0,0.4871
305062#707119#373223,0,0.44
359813#401620#678296,1,0.7167
41776#118031#969796,0,0.44
549240#754384#325958,0,0.46
535662#874906#205436,0,0.44
222849#952636#127706,0,0.4871
444462#266806#816202,1,0.53
565253#646348#433994,0,0.362
128500#709481#370861,1,0.5431
143808#827882#252460,0,0.44
178747#840420#239922,0,0.44
397405#791419#288923,0,0.44
122191#433493#646635,0,0.44
334946#999342#81000,0,0.4871
466507#983180#97162,0,0.19
433096#704351#375991,0,0.44
249344#834226#246116,0,0.4871
586814#756878#323464,0,0.44
171889#49153#1055675,1,0.5431
407152#754948#325394,1,0.68
174421#950334#130008,1,0.5708
435971#408186#671733,0,0.44
79401#329544#751154,0,0.44
62326#575666#504676,0,0.4871
191580#608392#471950,0,0.41
150465#751828#328514,1,0.62
13297#802033#278309,0,0.4871
440173#760775#319567,0,0.44
442984#720980#359362,0,0.4871
552594#639992#440350,0,0.3
576414#385052#694806,1,0.5811
560396#1003964#76378,0,0.4871
544823#866439#213903,0,0.4236
9194#1025670#54672,1,0.68
290724#807660#272682,0,0.4871
530843#263372#819616,1,0.7638
107783#692087#388255,0,0.44
70803#436848#643431,0,0.44
211885#802005#278337,0,0.4871
446279#759798#320544,0,0.44
264024#611941#468401,0,0.4871
193260#980584#99758,0,0.44
65778#256218#826766,1,0.5431
235978#198338#889925,1,0.5431
590023#172635#915491,1,0.5431
626504#683556#396786,0,0.39
629920#228389#854435,0,0.44
197602#1042672#37670,1,0.51
412049#142919#945176,1,0.5431
301748#513514#566828,0,0.4871
478513#884913#195429,0,0.4448
193245#606920#473422,0,0.4871
193290#1006753#73589,1,0.4934
245382#479944#600398,0,0.4871
160609#1071834#8508,0,0.44
53528#439720#640586,0,0.44
202496#564525#515817,0,0.44
171737#114820#973000,1,0.5431
142764#650690#429652,1,0.5431
72606#984659#95683,1,0.5431
411185#162516#925596,0,0.3258
341009#881844#198498,1,0.5431
167842#955562#124780,0,0.4871
243067#574984#505358,0,0.44
626457#770963#309379,0,0.44
258756#854117#226225,0,0.4871
484081#59049#1045925,0,0.44
308602#718574#361768,1,0.5431
558028#992380#87962,0,0.4
596135#186078#902072,0,0.4467
508953#757667#322675,0,0.44
615703#1033661#46681,0,0.44
604085#210296#872443,0,0.44
344411#1033713#46629,1,0.5431
233656#390359#689528,1,0.5431
421342#466889#613453,0,0.46
529462#841937#238405,0,0.44
571571#266868#816140,0,0.44
191688#781190#299152,1,0.5431
437311#406043#673881,0,0.44
378556#704312#376030,1,0.6957
538767#202918#882314,1,0.76
26822#99896#987887,1,0.5431
196205#431725#648333,0,0.48
302739#817615#262727,0,0.44
160709#93679#994096,0,0.44
525744#663427#416915,0,0.4871
279050#364593#715259,1,0.5431
64905#836405#243937,0,0.4871
86505#1003940#76402,0,0.432
226926#815070#265272,0,0.44
4952#715767#364575,1,0.5431
222497#564466#515876,0,0.4464
239792#803265#277077,1,0.7983
258485#1009389#70953,1,0.5431
528548#843013#237329,0,0.44
565161#695437#384905,0,0.44
193725#201432#886838,1,0.5431
556430#74452#1030597,1,0.55
117243#747538#332804,0,0.44
589146#541231#539111,1,0.62
519745#327951#755191,1,0.5431
272453#136203#951892,0,0.4871
131611#188772#899416,1,0.5431
451059#285315#797742,0,0.4871
22425#131153#956697,0,0.44
468066#724720#355622,0,0.44
442485#39868#1065223,1,0.5431
327062#576575#503767,1,0.5431
